genre,name,title,id_album_deezer,deezerFans
Tango,Adriana Varela,Tangos De Lengue: Varela Canta A Cadícamo,6993582.0,254.0
Tango,Adriana Varela,Toda Mi Vida,6993583.0,503.0
Tango,Adriana Varela,Encaje,9567886.0,209.0
Tango,Adriana Varela,Docke,6993583.0,503.0
Americana,Adrienne Young,Plow To The End Of The Row,2950231.0,9.0
Americana,Adrienne Young,The Art Of Virtue,3138311.0,5.0
Pop,Adriano Celentano,Furore,12254352.0,36.0
Pop,Adriano Celentano,A New Orleans,753031.0,198.0
Pop,Adriano Celentano,Non Mi Dir,1532065.0,1141.0
Pop,Adriano Celentano,La Festa,1532065.0,1141.0
Pop,Adriano Celentano,Il Ragazzo Della Via Gluck,1532065.0,1141.0
Pop,Adriano Celentano,Adriano Rock,5669221.0,27.0
Pop,Adriano Celentano,Azzurro,1332788.0,480.0
Pop,Adriano Celentano,Le Robe Che Ha Detto Adriano,1532065.0,1141.0
Pop,Adriano Celentano,Il Forestiero,5669401.0,64.0
Pop,Adriano Celentano,I Mali Del Secolo,5669271.0,60.0
Pop,Adriano Celentano,Nostalrock,5669131.0,48.0
Pop,Adriano Celentano,Yuppi Du,1532067.0,209.0
Pop,Adriano Celentano,Svalutation,1333863.0,1333.0
Pop,Adriano Celentano,Disco Dance,1333856.0,468.0
Pop,Adriano Celentano,Tecadisk,1531234.0,55.0
Pop,Adriano Celentano,"Me, Live!",1531234.0,55.0
Pop,Adriano Celentano,Ti Avrò,5669211.0,60.0
Pop,Adriano Celentano,Geppo Il Folle,226313.0,36.0
Pop,Adriano Celentano,Soli,1532470.0,399.0
Pop,Adriano Celentano,Un Po' Artista Un Po' No,5669191.0,81.0
Pop,Adriano Celentano,Deus,5669411.0,72.0
Pop,Adriano Celentano,Atmosfera,5669321.0,38.0
Pop,Adriano Celentano,I Miei Americani Tre Puntini,1332789.0,109.0
Pop,Adriano Celentano,Joan Lui,5669381.0,134.0
Pop,Adriano Celentano,I Miei Americani Tre Puntini 2,1538316.0,141.0
Pop,Adriano Celentano,La Pubblica Ottusità,1532471.0,200.0
Pop,Adriano Celentano,Il Re Degli Ignoranti,5669361.0,183.0
Pop,Adriano Celentano,Rock Matto,753031.0,198.0
Pop,Adriano Celentano,Quel Punto,5669341.0,27.0
Pop,Adriano Celentano,Arrivano Gli Uomini,1532071.0,269.0
Pop,Adriano Celentano,Ciao Ragazzi,1292756.0,23.0
Pop,Adriano Celentano,Io Non So Parlar D'Amore,1332790.0,2363.0
Pop,Adriano Celentano,Esco Di Rado E Parlo Ancora Meno,1332791.0,717.0
Pop,Adriano Celentano,Per Sempre,1532474.0,719.0
Pop,Adriano Celentano,C'è Sempre Un Motivo,1532075.0,578.0
Pop,Adriano Celentano,Unicamente Celentano,1333856.0,468.0
Pop,Adriano Celentano,"Dormi Amore, La Situazione Non È Buona",71587.0,63.0
Pop,Adriano Celentano,L'Animale,5669161.0,635.0
Pop,Adriano Celentano,Facciamo Finta Che Sia Vero,1332793.0,206.0
Electro,Adult.,Resuscitation,6808899.0,185.0
Electro,Adult.,Anxiety Always,14798515.0,0.0
Electro,Adult.,D.U.M.E. EP,6808903.0,270.0
Electro,Adversus,Ein Erster Funke,719902.0,24.0
Medieval,Adversus,Laya,719915.0,11.0
