_id,genre,id_artist,name,publicationDate,title,urlAlbum,id_album_deezer,deezerFans,language
ObjectId(5714debf25ac0d8aee375068),Pop Rock,ObjectId(56d96b3acc2ddd0c0f6bb0cc),Shakira,2000,MTV Unplugged,http://lyrics.wikia.com/Shakira:MTV_Unplugged_%282000%29,1422754.0,18743,spa
ObjectId(5714debf25ac0d8aee37506c),Pop Rock,ObjectId(56d96b3acc2ddd0c0f6bb0cc),Shakira,2005,Fijación Oral Vol. 1,http://lyrics.wikia.com/Shakira:Fijaci%C3%B3n_Oral_Vol._1_%282005%29,1422575.0,22216,spa
ObjectId(5714debf25ac0d8aee37506d),Pop Rock,ObjectId(56d96b3acc2ddd0c0f6bb0cc),Shakira,2005,Oral Fixation Vol. 2,http://lyrics.wikia.com/Shakira:Oral_Fixation_Vol._2_%282005%29,73323.0,37080,eng
ObjectId(5714debf25ac0d8aee37506f),Pop,ObjectId(56d96b3acc2ddd0c0f6bb0cc),Shakira,2009,She Wolf,http://lyrics.wikia.com/Shakira:She_Wolf_%282009%29,7513721.0,57838,mul
ObjectId(5714debf25ac0d8aee375122),Funk,ObjectId(56d96b7dcc2ddd0c0f6bb11d),Shannon,1984,Let The Music Play,http://lyrics.wikia.com/Shannon:Let_The_Music_Play_%281984%29,561518.0,371,eng
ObjectId(5714debf25ac0d8aee375241),Hip Hop,ObjectId(56d96bcccc2ddd0c0f6bb199),Shawnna,2004,Worth Tha Weight,http://lyrics.wikia.com/Shawnna:Worth_Tha_Weight_%282004%29,248205.0,262,eng
ObjectId(5714debf25ac0d8aee37525e),Electronic,ObjectId(56d96bd2cc2ddd0c0f6bb1a6),She,2004,Emit And Exude,http://lyrics.wikia.com/She:Emit_And_Exude_%282004%29,12521014.0,0,eng
ObjectId(5714debf25ac0d8aee37525f),Electronic,ObjectId(56d96bd2cc2ddd0c0f6bb1a6),She,2005,Digital Ambient Designs,http://lyrics.wikia.com/She:Digital_Ambient_Designs_%282005%29,1296197.0,3489,eng
ObjectId(5714debf25ac0d8aee375261),Electronic,ObjectId(56d96bd2cc2ddd0c0f6bb1a6),She,2006,Pioneer,http://lyrics.wikia.com/She:Pioneer_%282006%29,7098167.0,1,eng
ObjectId(5714debf25ac0d8aee375268),Electronic,ObjectId(56d96bd2cc2ddd0c0f6bb1a6),She,2009,Orion,http://lyrics.wikia.com/She:Orion_%282009%29,1296197.0,3489,eng
ObjectId(5714debf25ac0d8aee375269),Electronic,ObjectId(56d96bd2cc2ddd0c0f6bb1a6),She,2011,Make Me Real,http://lyrics.wikia.com/She:Make_Me_Real_%282011%29,7748866.0,6,eng
ObjectId(5714debf25ac0d8aee375592),Gangsta Rap,ObjectId(56d96ca8cc2ddd0c0f6bb2df),Shyne,2000,Shyne,http://lyrics.wikia.com/Shyne:Shyne_%282000%29,364651.0,2517,eng
ObjectId(5714debf25ac0d8aee375593),Gangsta Rap,ObjectId(56d96ca8cc2ddd0c0f6bb2df),Shyne,2004,Godfather Buried Alive,http://lyrics.wikia.com/Shyne:Godfather_Buried_Alive_%282004%29,228342.0,858,eng
ObjectId(5714debf25ac0d8aee3755a1),Trip Hop,ObjectId(56d96cadcc2ddd0c0f6bb2e9),Sia,1997,Onlysee,http://lyrics.wikia.com/Sia:Onlysee_%281997%29,390763.0,17537,eng
ObjectId(5714debf25ac0d8aee3755a2),Trip Hop,ObjectId(56d96cadcc2ddd0c0f6bb2e9),Sia,2001,Healing Is Difficult,http://lyrics.wikia.com/Sia:Healing_Is_Difficult_%282001%29,7270319.0,3281,eng
ObjectId(5714debf25ac0d8aee3755a3),Alternative Rock,ObjectId(56d96cadcc2ddd0c0f6bb2e9),Sia,2004,Colour The Small One,http://lyrics.wikia.com/Sia:Colour_The_Small_One_%282004%29,102947.0,35614,eng
ObjectId(5714debf25ac0d8aee3755a5),Pop,ObjectId(56d96cadcc2ddd0c0f6bb2e9),Sia,2010,We Are Born,http://lyrics.wikia.com/Sia:We_Are_Born_%282010%29,577566.0,45872,eng
ObjectId(5714debf25ac0d8aee3755a6),Electronic,ObjectId(56d96cadcc2ddd0c0f6bb2e9),Sia,2012,Best Of...,http://lyrics.wikia.com/Sia:Best_Of..._%282012%29,390763.0,17537,eng
ObjectId(5714debf25ac0d8aee3758f9),Rock,ObjectId(56d96d90cc2ddd0c0f6bb447),Sina,2008,In Wolkä Fische,http://lyrics.wikia.com/Sina:In_Wolk%C3%A4_Fische_%282008%29,8963085.0,50,gsw
ObjectId(5714debf25ac0d8aee37591f),Funk,ObjectId(56d96d9acc2ddd0c0f6bb45b),Sinclair,1993,Que Justice Soit Faite !,http://lyrics.wikia.com/Sinclair:Que_Justice_Soit_Faite_%21_%281993%29,6120467.0,2066,fra
ObjectId(5714debf25ac0d8aee375920),Funk,ObjectId(56d96d9acc2ddd0c0f6bb45b),Sinclair,1995,Au Mépris Du Danger,http://lyrics.wikia.com/Sinclair:Au_M%C3%A9pris_Du_Danger_%281995%29,6120433.0,1088,fra
ObjectId(5714debf25ac0d8aee375922),Funk,ObjectId(56d96d9acc2ddd0c0f6bb45b),Sinclair,2001,Supernova Superstar,http://lyrics.wikia.com/Sinclair:Supernova_Superstar_%282001%29,6120435.0,3375,fra
ObjectId(5714debf25ac0d8aee375923),Funk,ObjectId(56d96d9acc2ddd0c0f6bb45b),Sinclair,2002,Mon Idole,http://lyrics.wikia.com/Sinclair:Mon_Idole_%282002%29,784800.0,0,eng
ObjectId(5714debf25ac0d8aee375925),Funk,ObjectId(56d96d9acc2ddd0c0f6bb45b),Sinclair,2006,Morphologique,http://lyrics.wikia.com/Sinclair:Morphologique_%282006%29,9149509.0,1,fra
ObjectId(5714debf25ac0d8aee375cee),Dubstep,ObjectId(56d96e7dcc2ddd0c0f6bb5b5),Skream,2006,Skream!,http://lyrics.wikia.com/Skream:Skream%21_%282006%29,7822186.0,1005,eng
